ID,Name,R_Sun,R_gc,X,Y,Z,AltName,Mstar,K_Age,K_FeH
NGC 104,47 Tuc,4.5,7.4,1.9,-2.6,-3.1,47Tuc,6.46,12.8,-0.76
NGC 288,,8.9,12.0,-0.1,0.0,-8.9,Melotte3,0.46,12.2,-1.32
NGC 362,,8.6,9.4,3.1,-5.1,-6.2,Dunlop62,2.5,10.0,-1.26
Whiting 1,,30.1,34.5,-13.9,4.7,-26.3,,,,
NGC 1261,,16.3,18.1,0.1,-10.0,-12.9,Caldwell87,3.41,10.24,-1.08
Pal 1,,11.1,17.2,-6.8,8.1,3.6,,,,
AM 1,E 1,123.3,124.6,-16.5,-80.1,-92.3,,,,
Eridanus,,90.1,95.0,-53.2,-41.7,-59.5,,,,
Pal 2,,27.2,35.0,-26.4,4.4,-4.3,,,,
NGC 1851,,12.1,16.6,-4.2,-8.9,-6.9,Dunlop508,5.51,7.64,-1.13
NGC 1904,M 79,12.9,18.8,-7.7,-8.3,-6.3,M79,1.45,12.0,-1.58
NGC 2298,,10.8,15.8,-4.3,-9.4,-3.0,Dunlop578,0.85,12.4,-1.98
NGC 2419,,82.6,89.9,-74.7,-0.5,35.2,,,,
Ko 2,,34.7,41.9,-30.2,-8.2,15.0,,,,
Pyxis,,39.4,41.4,-5.9,-38.7,4.8,,,,
NGC 2808,,9.6,11.1,2.0,-9.2,-1.9,Dunlop265,12.3,11.2,-1.18
E 3,,8.1,9.1,2.9,-7.1,-2.6,,,,
Pal 3,,92.5,95.7,-34.3,-59.7,61.7,,,,
NGC 3201,,4.9,8.8,0.6,-4.8,0.7,Dunlop445,1.1,11.1,-1.51
Pal 4,,108.7,111.2,-31.4,-12.9,103.2,,,,
Ko 1,,48.3,49.3,-2.5,-15.7,45.6,,,,
NGC 4147,,19.3,21.4,-1.3,-4.1,18.8,,,,
NGC 4372,,5.8,7.1,2.9,-4.9,-1.0,,,,
Rup 106,,21.2,18.5,10.7,-17.8,4.3,NONE,0.68,12.0,-1.5
NGC 4590,M 68,10.3,10.2,4.1,-7.2,6.0,M68,1.07,12.7,-2.27
NGC 4833,,6.6,7.0,3.6,-5.4,-0.9,Dunlop164,4.1,12.5,-1.71
NGC 5024,M 53,17.9,18.4,2.8,-1.4,17.6,M53,8.26,12.7,-1.86
NGC 5053,,17.4,17.8,3.0,-1.4,17.1,NONE,1.25,12.3,-1.98
NGC 5139,omega Cen,5.2,6.4,3.1,-3.9,1.3,,,,
NGC 5272,M 3,10.2,12.0,1.5,1.3,10.0,M3,4.68,11.4,-1.34
NGC 5286,,11.7,8.9,7.6,-8.6,2.1,NONE,7.13,12.5,-1.41
AM 4,,32.2,27.8,20.7,-17.2,17.8,,,,
NGC 5466,,16.0,16.3,3.3,3.0,15.3,NONE,1.79,13.6,-2.2
NGC 5634,,25.2,21.2,15.7,-5.0,19.1,,,,
NGC 5694,,35.0,29.4,26.4,-14.6,17.7,,,,
IC 4499,,18.8,15.7,10.7,-14.0,-6.6,,,,
NGC 5824,,32.1,25.9,26.4,-13.7,12.1,,,,
Pal 5,,23.2,18.6,16.2,0.2,16.7,,,,
NGC 5897,,12.5,7.4,10.3,-3.2,6.3,NONE,2.11,12.3,-1.73
NGC 5904,M 5,7.5,6.2,5.1,0.3,5.5,M5,3.89,11.5,-1.33
NGC 5927,,7.7,4.6,6.4,-4.2,0.7,NONE,3.38,12.7,-0.64
NGC 5946,,10.6,5.8,8.9,-5.6,0.8,,,,
BH 176,,18.9,12.9,16.1,-9.9,1.4,,,,
NGC 5986,,10.4,4.8,9.3,-4.0,2.4,NONE,5.99,12.2,-1.35
Lynga 7,BH184,8.0,4.3,6.8,-4.1,-0.4,NONE,0.39,7.4,-0.12
Pal 14,AvdB,76.5,71.6,49.7,27.3,51.4,,,,
NGC 6093,M 80,10.0,3.8,9.4,-1.2,3.3,M80,5.02,12.5,-1.47
NGC 6121,M 4,2.2,5.9,2.1,-0.3,0.6,M4,1.17,13.1,-1.98
NGC 6101,,15.4,11.2,11.0,-10.0,-4.2,Caldwell107,1.0,12.5,-1.76
NGC 6144,,8.9,2.7,8.5,-1.2,2.4,NONE,1.69,13.8,-1.56
NGC 6139,,10.1,3.6,9.6,-3.0,1.2,NONE,3.8,11.6,-1.58
Terzan 3,,8.2,2.5,7.8,-2.1,1.3,,,,
NGC 6171,M 107,6.4,3.3,5.9,0.3,2.5,M107,1.17,13.4,-1.03
1636-283,ESO452-SC11,8.3,2.1,8.0,-1.1,1.7,,,,
NGC 6205,M 13,7.1,8.4,2.8,4.6,4.7,M13,7.75,11.7,-1.33
NGC 6229,,30.5,29.8,6.5,22.3,19.7,,,,
NGC 6218,M 12,4.8,4.5,4.2,1.2,2.1,M12,0.74,13.4,-1.43
FSR 1735,,9.8,3.7,9.1,-3.5,-0.3,,,,
NGC 6235,,11.5,4.2,11.2,-0.2,2.7,,,,
NGC 6254,M 10,4.4,4.6,3.9,1.1,1.7,M10,1.53,12.4,-1.57
NGC 6256,,10.3,3.0,10.0,-2.2,0.6,,,,
Pal 15,,45.1,38.4,38.9,13.3,18.6,,,,
NGC 6266,M 62,6.8,1.7,6.7,-0.8,0.9,,,,
NGC 6273,M 19,8.8,1.7,8.7,-0.5,1.4,,,,
NGC 6284,,15.3,7.5,15.0,-0.4,2.6,,,,
NGC 6287,,9.4,2.1,9.2,0.0,1.8,,,,
NGC 6293,,9.5,1.9,9.4,-0.4,1.3,,,,
NGC 6304,,5.9,2.3,5.8,-0.4,0.6,NONE,2.17,13.6,-0.66
NGC 6316,,10.4,2.6,10.4,-0.5,1.0,,,,
NGC 6341,M 92,8.3,9.6,2.5,6.3,4.7,M92,4.89,13.2,-2.1
NGC 6325,,7.8,1.1,7.7,0.1,1.1,,,,
NGC 6333,M 9,7.9,1.7,7.7,0.7,1.5,,,,
NGC 6342,,8.5,1.7,8.4,0.7,1.4,,,,
NGC 6356,,15.1,7.5,14.7,1.7,2.7,,,,
NGC 6355,,9.2,1.4,9.2,-0.1,0.9,,,,
NGC 6352,,5.6,3.3,5.3,-1.8,-0.7,NONE,0.37,12.7,-0.7
IC 1257,,25.0,17.9,23.2,6.9,6.5,,,,
Terzan 2,HP 3,7.5,0.8,7.5,-0.5,0.3,,,,
NGC 6366,,3.5,5.0,3.2,1.1,1.0,NONE,0.3,13.3,-0.73
Terzan 4,HP 4,7.2,1.0,7.2,-0.5,0.2,,,,
HP 1,BH 229,8.2,0.5,8.2,-0.4,0.3,,,,
NGC 6362,,7.6,5.1,6.0,-4.1,-2.3,NONE,0.81,13.6,-0.99
Liller 1,,8.2,0.8,8.2,-0.7,0.0,,,,
NGC 6380,Ton 1,10.9,3.3,10.7,-1.9,-0.6,,,,
Terzan 1,HP 2 ,6.7,1.3,6.7,-0.3,0.1,,,,
Ton 2,Pismis 26,8.2,1.4,8.1,-1.3,-0.5,,,,
NGC 6388,,9.9,3.1,9.6,-2.5,-1.2,NONE,12.0,11.7,-0.45
NGC 6402,M 14,9.3,4.0,8.3,3.3,2.4,,,,
NGC 6401,,10.6,2.7,10.5,0.6,0.7,,,,
NGC 6397,,2.3,6.0,2.1,-0.8,-0.5,NONE,1.1,13.4,-1.99
Pal 6,,5.8,2.2,5.8,0.2,0.2,,,,
NGC 6426,,20.6,14.4,17.4,9.3,5.8,,,,
Djorg 1,,13.7,5.7,13.6,-0.8,-0.6,,,,
Terzan 5,Terzan 11,6.9,1.2,6.9,0.5,0.2,,,,
NGC 6440,,8.5,1.3,8.4,1.1,0.6,,,,
NGC 6441,,11.6,3.9,11.5,-1.3,-1.0,NONE,9.55,11.2,-0.44
Terzan 6,HP 5,6.8,1.3,6.8,-0.2,-0.3,,,,
NGC 6453,,11.6,3.7,11.5,-0.9,-0.8,,,,
UKS 1,,7.8,0.7,7.8,0.7,0.1,,,,
NGC 6496,,11.3,4.2,10.9,-2.3,-2.0,NONE,2.0,12.4,-0.7
Terzan 9,,7.1,1.1,7.1,0.4,-0.2,,,,
Djorg 2,ESO456-SC38,6.3,1.8,6.2,0.3,-0.3,,,,
NGC 6517,,10.6,4.2,10.0,3.5,1.3,,,,
Terzan 10,,5.8,2.3,5.8,0.5,-0.2,,,,
NGC 6522,,7.7,0.6,7.7,0.1,-0.5,,,,
NGC 6535,,6.8,3.9,6.0,3.1,1.2,NONE,0.2,10.5,-1.51
NGC 6528,,7.9,0.6,7.9,0.2,-0.6,,,,
NGC 6539,,7.8,3.0,7.2,2.8,0.9,,,,
NGC 6540,Djorg 3,5.3,2.8,5.2,0.3,-0.3,,,,
NGC 6544,,3.0,5.1,2.9,0.3,-0.1,,,,
NGC 6541,,7.5,2.1,7.3,-1.4,-1.5,NONE,5.72,12.9,-1.53
2MS-GC01,2MASS-GC01,3.6,4.5,3.5,0.7,0.0,,,,
ESO-SC06,ESO280-SC06,21.4,14.0,20.4,-4.7,-4.7,,,,
NGC 6553,,6.0,2.2,5.9,0.5,-0.3,,,,
2MS-GC02,2MASS-GC02,4.9,3.2,4.9,0.8,-0.1,,,,
NGC 6558,,7.4,1.0,7.3,0.0,-0.8,,,,
IC 1276,Pal 7,5.4,3.7,5.0,2.0,0.5,,,,
Terzan 12,,4.8,3.4,4.7,0.7,-0.2,NONE,0.28,8.6,-0.81
NGC 6569,,10.9,3.1,10.8,0.1,-1.3,,,,
BH 261,AL 3,6.5,1.7,6.5,0.4,-0.6,,,,
GLIMPSE02,,5.5,3.0,5.4,1.4,-0.1,,,,
NGC 6584,,13.5,7.0,12.3,-4.0,-3.8,NONE,3.03,11.3,-1.3
NGC 6624,,7.9,1.2,7.8,0.4,-1.1,NONE,2.57,12.5,-0.7
NGC 6626,M 28,5.5,2.7,5.4,0.7,-0.5,,,,
NGC 6638,,9.4,2.2,9.3,1.3,-1.2,,,,
NGC 6637,M 69,8.8,1.7,8.6,0.3,-1.6,M69,2.0,13.1,-0.78
NGC 6642,,8.1,1.7,8.0,1.4,-0.9,,,,
